StockCode,Description,UnitPrice,Nouns,Category,PriceSegment
21581,SKULLS  DESIGN  COTTON TOTE BAG,2.25,"['skulls', 'cotton', 'tote', 'bag']",Home Decor,Premium
21584,RETROSPOT SMALL TUBE MATCHES,1.65,"['retrospot', 'small', 'tube', 'matches']",Garden,Standard
21586,KINGS CHOICE GIANT TUBE MATCHES,2.55,"['king', 'giant', 'tube', 'matches']",Other,Premium
21587,COSY HOUR GIANT TUBE MATCHES,2.55,"['cosy', 'hour', 'giant', 'tube', 'matches']",Other,Premium
21588,RETROSPOT GIANT TUBE MATCHES,2.55,"['retrospot', 'giant', 'tube', 'matches']",Garden,Premium
21591,COSY HOUR CIGAR BOX MATCHES,1.25,"['cosy', 'hour', 'cigar', 'box', 'matches']",Other,Standard
21592,RETROSPOT CIGAR BOX MATCHES,1.25,"['retrospot', 'cigar', 'box', 'matches']",Garden,Standard
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,2.95,"['set', 'botanical', 't', 'lights']",Home Decor,Premium
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,2.95,"['vanilla', 'botanical', 't', 'lights']",Home Decor,Premium
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,2.95,"['rose', 'botanical', 't', 'lights']",Home Decor,Premium
21615,4 LAVENDER BOTANICAL DINNER CANDLES,1.25,"['botanical', 'dinner', 'candles']",Home Decor,Standard
21616,4 PEAR BOTANICAL DINNER CANDLES,1.25,"['pear', 'botanical', 'dinner', 'candles']",Home Decor,Standard
21617,4 LILY  BOTANICAL DINNER CANDLES,1.25,"['lily', 'botanical', 'dinner', 'candles']",Home Decor,Standard
21618,4 WILDFLOWER BOTANICAL CANDLES,1.25,"['wildflower', 'botanical', 'candle']",Home Decor,Standard
21619,4 VANILLA BOTANICAL CANDLES,1.25,"['vanilla', 'botanical', 'candle']",Home Decor,Standard
21620,SET OF 4 ROSE BOTANICAL CANDLES,1.25,"['rose', 'botanical', 'candles']",Home Decor,Standard
21621,VINTAGE UNION JACK BUNTING,8.5,"['vintage', 'union', 'jack', 'bunting']",Kitchen,Luxury
21622,VINTAGE UNION JACK CUSHION COVER,4.95,"['vintage', 'union', 'jack', 'cushion', 'cover']",Other,Luxury
21623,VINTAGE UNION JACK MEMOBOARD,9.95,"['vintage', 'union', 'jack', 'memoboard']",Other,Luxury
21624,VINTAGE UNION JACK DOORSTOP,5.95,"['vintage', 'union', 'jack', 'doorstop']",Other,Luxury
21625,VINTAGE UNION JACK APRON,6.95,"['vintage', 'union', 'jack', 'apron']",Other,Luxury
21626,VINTAGE UNION JACK PENNANT,1.95,"['vintage', 'union', 'jack', 'pennant']",Stationery,Standard
21627,ELEPHANT CARNIVAL POUFFE,14.95,"['elephant', 'carnival', 'pouffe']",Toys,Luxury
21628,TRIANGULAR POUFFE VINTAGE,14.95,['vintage'],Other,Luxury
21629,SQUARE FLOOR CUSHION VINTAGE RED,7.95,"['square', 'floor', 'cushion', 'vintage', 'red']",Other,Luxury
21630,FLOOR CUSHION ELEPHANT CARNIVAL,8.95,"['floor', 'cushion', 'elephant', 'carnival']",Toys,Luxury
21631,HIPPY CHIC DECORATIVE PARASOL,3.95,"['hippy', 'chic', 'decorative', 'parasol']",Other,Luxury
21632,VINTAGE PINK DECORATIVE PARASOL,3.95,"['vintage', 'pink', 'decorative', 'parasol']",Other,Luxury
21633,SUNFLOWER DECORATIVE PARASOL,12.75,"['sunflower', 'decorative', 'parasol']",Garden,Luxury
21634,ASSORTED MINI MADRAS NOTEBOOK,0.39,"['assorted', 'mini', 'madras', 'notebook']",Stationery,Budget
21635,MADRAS NOTEBOOK LARGE,1.25,"['madras', 'notebook', 'large']",Stationery,Standard
21636,MADRAS NOTEBOOK MEDIUM,0.75,"['madras', 'notebook', 'medium']",Stationery,Budget
21637,ASSORTED SANSKRIT MINI NOTEBOOK,1.25,"['assorted', 'sanskrit', 'mini', 'notebook']",Stationery,Standard
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,2.1,"['assorted', 'tutti', 'frutti', 'notebook']",Stationery,Premium
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,0.85,"['assorted', 'tutti', 'frutti', 'fob', 'notebook']",Stationery,Budget
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,0.29,"['assorted', 'tutti', 'frutti', 'keyring', 'ball']",Toys,Budget
21642,ASSORTED TUTTI FRUTTI PEN,0.29,"['assorted', 'tutti', 'frutti', 'pen']",Stationery,Budget
21643,ASSORTED TUTTI FRUTTI MIRROR,1.25,"['assorted', 'tutti', 'frutti', 'mirror']",Home Decor,Standard
21644,ASSORTED TUTTI FRUTTI HEART BOX,1.25,"['assorted', 'tutti', 'frutti', 'heart']",Home Decor,Standard
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,2.1,"['assorted', 'tutti', 'frutti', 'large', 'purse']",Bags,Premium
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,1.25,"['assorted', 'tutti', 'frutti', 'purse']",Bags,Standard
21650,ASSORTED TUTTI FRUTTI BRACELET,0.19,"['assorted', 'tutti', 'frutti', 'bracelet']",Jewellery,Budget
21651,HANGING GLASS ETCHED TEALIGHT,1.65,"['glass', 'etched', 'tealight']",Home Decor,Standard
21654,RIDGED GLASS FINGER BOWL,0.39,"['ridged', 'glass', 'finger', 'bowl']",Kitchen,Budget
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,1.69,"['hanging', 'ridge', 'glass', 't', 'light', 'holder']",Home Decor,Standard
21656,RIDGED GLASS POSY VASE,1.45,"['ridged', 'glass', 'posy', 'vase']",Home Decor,Standard
21657,MILK BOTTLE WITH GLASS STOPPER,6.95,"['milk', 'bottle', 'glass', 'stopper']",Kitchen,Luxury
21658,GLASS  BEURRE DISH,3.95,"['glass', 'beurre', 'dish']",Kitchen,Luxury
21661,VINTAGE GLASS TEA CADDY,5.95,"['vintage', 'glass', 'tea', 'caddy']",Kitchen,Luxury
21662,VINTAGE GLASS COFFEE CADDY,5.95,"['vintage', 'glass', 'coffee', 'caddy']",Kitchen,Luxury
21664,RIDGED GLASS STORAGE JAR CREAM LID,3.75,"['ridged', 'glass', 'storage', 'jar', 'cream', 'lid']",Kitchen,Premium
21666,RIDGED GLASS T-LIGHT HOLDER,0.65,"['ridged', 'glass', 't', 'light', 'holder']",Home Decor,Budget
21667,GLASS CAKE COVER AND PLATE,14.95,"['glass', 'cake', 'cover', 'plate']",Kitchen,Luxury
21668,RED STRIPE CERAMIC DRAWER KNOB,1.25,"['stripe', 'ceramic', 'drawer', 'knob']",Other,Standard
21669,BLUE STRIPE CERAMIC DRAWER KNOB,1.25,"['stripe', 'ceramic', 'drawer', 'knob']",Other,Standard
21670,BLUE SPOT CERAMIC DRAWER KNOB,1.25,"['blue', 'spot', 'ceramic', 'drawer', 'knob']",Garden,Standard
21671,RED SPOT CERAMIC DRAWER KNOB,1.25,"['red', 'spot', 'ceramic', 'drawer', 'knob']",Garden,Standard
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,1.25,"['white', 'spot', 'red', 'ceramic', 'drawer', 'knob']",Garden,Standard
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,1.25,"['white', 'spot', 'blue', 'ceramic', 'drawer', 'knob']",Garden,Standard
21675,BUTTERFLIES STICKERS,0.85,"['butterfly', 'sticker']",Stationery,Budget
21676,FLOWERS  STICKERS,0.85,"['flower', 'sticker']",Stationery,Budget
21677,HEARTS  STICKERS,0.85,"['hearts', 'sticker']",Stationery,Budget
21678,PAISLEY PATTERN  STICKERS,0.85,"['paisley', 'pattern', 'sticker']",Stationery,Budget
21679,SKULLS  STICKERS,0.85,"['skull', 'sticker']",Stationery,Budget
21680,WOODLAND  STICKERS,0.85,"['woodland', 'sticker']",Stationery,Budget
21681,GIANT MEDINA STAMPED METAL BOWL,9.95,"['giant', 'medina', 'stamped', 'metal', 'bowl']",Kitchen,Luxury
21682,LARGE MEDINA STAMPED METAL BOWL,4.95,"['medina', 'stamped', 'metal', 'bowl']",Kitchen,Luxury
21683,MEDIUM MEDINA STAMPED METAL BOWL,2.95,"['medium', 'medina', 'stamped', 'metal', 'bowl']",Kitchen,Premium
21684,SMALL MEDINA STAMPED METAL BOWL,0.85,"['small', 'medina', 'stamped', 'metal', 'bowl']",Kitchen,Budget
21686,MEDINA STAMPED METAL STOOL,39.95,"['medina', 'stamped', 'metal', 'stool']",Other,Luxury
21688,SILVER PLATE CANDLE BOWL SMALL,2.95,"['plate', 'candle', 'bowl', 'small']",Home Decor,Premium
21689,SILVER VANILLA  FLOWER CANDLE POT,3.75,"['silver', 'vanilla', 'flower', 'candle', 'pot']",Home Decor,Premium
21690,SILVER  CANDLEPOT JARDIN,3.75,"['silver', 'candlepot', 'jardin']",Home Decor,Premium
21692,SILVER LATTICE VANILLA CANDLE POT,3.75,"['silver', 'lattice', 'vanilla', 'candle', 'pot']",Home Decor,Premium
21693,SMALL HAMMERED SILVER CANDLEPOT,2.95,"['small', 'silver', 'candlepot']",Home Decor,Premium
21694,SMALL REGAL  SILVER CANDLEPOT,2.95,"['small', 'regal', 'silver', 'candlepot']",Home Decor,Premium
21695,SMALL SILVER FLOWER CANDLE POT,2.95,"['small', 'silver', 'flower', 'candle', 'pot']",Home Decor,Premium
21696,SMALL SILVER TRELLIS CANDLEPOT,2.95,"['small', 'silver', 'trellis', 'candlepot']",Home Decor,Premium
21698,MOCK LOBSTER FRIDGE MAGNET,0.39,"['mock', 'lobster', 'fridge', 'magnet']",Other,Budget
21700,BIG DOUGHNUT FRIDGE MAGNETS,0.85,"['big', 'doughnut', 'fridge', 'magnets']",Other,Budget
21703,BAG 125g SWIRLY MARBLES,0.42,"['bag', 'g', 'swirly', 'marbles']",Bags,Budget
21704,BAG 250g SWIRLY MARBLES,0.85,"['bag', 'g', 'swirly', 'marbles']",Bags,Budget
21705,BAG 500g SWIRLY MARBLES,1.65,"['bag', 'g', 'swirly', 'marbles']",Bags,Standard
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,4.95,"['umbrella', 'red', 'white']",Other,Luxury
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,4.95,"['umbrella', 'blackblue']",Other,Luxury
21708,FOLDING UMBRELLA CREAM POLKADOT,4.95,"['umbrella', 'cream']",Beauty,Luxury
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,4.95,"['umbrella', 'chocolate']",Food,Luxury
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,4.95,"['umbrella', 'pinkwhite']",Other,Luxury
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,4.95,"['umbrella', 'white', 'red']",Other,Luxury
21713,CITRONELLA CANDLE FLOWERPOT,2.1,"['citronella', 'candle', 'flowerpot']",Home Decor,Premium
21714,CITRONELLA CANDLE GARDEN POT,1.25,"['citronella', 'candle', 'garden', 'pot']",Home Decor,Standard
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,2.55,"['girls', 'vintage', 'tin', 'seaside']",Kitchen,Premium
21716,BOYS VINTAGE TIN SEASIDE BUCKET,2.55,"['boys', 'vintage', 'tin', 'seaside']",Kitchen,Premium
21717,EASTER TIN BUCKET,2.55,"['easter', 'tin']",Kitchen,Premium
21718,RED METAL BEACH SPADE,1.25,"['metal', 'beach']",Other,Standard
21719,LOVELY BONBON STICKER SHEET,0.85,"['lovely', 'bonbon', 'sticker', 'sheet']",Stationery,Budget
21720,CAKE SHOP  STICKER SHEET,0.85,"['cake', 'shop', 'sticker', 'sheet']",Stationery,Budget
21721,CANDY SHOP  STICKER SHEET,0.85,"['candy', 'shop', 'sticker', 'sheet']",Stationery,Budget
21722,SWEET PUDDING STICKER SHEET,0.85,"['pudding', 'sheet']",Stationery,Budget
21723,ALPHABET HEARTS STICKER SHEET,0.85,"['alphabet', 'hearts', 'sheet']",Stationery,Budget
21724,PANDA AND BUNNIES STICKER SHEET,0.85,"['panda', 'bunny', 'sheet']",Stationery,Budget
21725,SWEETIES  STICKERS,0.85,"['sweeties', 'sticker']",Stationery,Budget
21726,MULTI HEARTS  STICKERS,0.85,"['hearts', 'sticker']",Stationery,Budget
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.95,"['glass', 'star', 'frosted', 't', 'light', 'holder']",Home Decor,Luxury
21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,"['red', 'toadstool', 'night', 'light']",Home Decor,Standard
21733,RED HANGING HEART T-LIGHT HOLDER,2.95,"['hanging', 'heart', 't', 'light', 'holder']",Home Decor,Premium
21735,TWO DOOR CURIO CABINET,12.75,"['door', 'curio', 'cabinet']",Other,Luxury
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,2.1,"['gold', 'scroll', 'glass', 't', 'light', 'holder']",Home Decor,Premium
21738,COSY SLIPPER SHOES SMALL  RED,2.95,"['cosy', 'slipper', 'shoes', 'small', 'red']",Other,Premium
21739,COSY SLIPPER SHOES SMALL GREEN,2.95,"['cosy', 'slipper', 'shoe', 'small', 'green']",Other,Premium
21741,COSY SLIPPER SHOES LARGE GREEN,2.95,"['cosy', 'slipper', 'shoe', 'large', 'green']",Other,Premium
21742,LARGE ROUND WICKER PLATTER,5.95,"['wicker', 'platter']",Other,Luxury
21743,STAR PORTABLE TABLE LIGHT,2.95,"['star', 'portable', 'table', 'light']",Home Decor,Premium
21744,SNOWFLAKE PORTABLE TABLE LIGHT,2.95,"['snowflake', 'portable', 'table', 'light']",Home Decor,Premium
21745,GAOLERS KEYS DECORATIVE GARDEN,3.75,"['gaoler', 'garden']",Garden,Premium
21746,SMALL RED RETROSPOT WINDMILL,1.25,"['small', 'red', 'retrospot', 'windmill']",Garden,Standard
21747,SMALL SKULL WINDMILL,1.25,"['small', 'skull', 'windmill']",Other,Standard
21749,LARGE RED RETROSPOT WINDMILL,2.1,"['red', 'retrospot', 'windmill']",Garden,Premium
21750,LARGE SKULL WINDMILL,2.1,"['skull', 'windmill']",Other,Premium
21754,HOME BUILDING BLOCK WORD,5.95,"['home', 'building', 'block', 'word']",Other,Luxury
21755,LOVE BUILDING BLOCK WORD,5.95,"['love', 'building', 'block', 'word']",Other,Luxury
21756,BATH BUILDING BLOCK WORD,5.95,"['bath', 'building', 'block', 'word']",Other,Luxury
21757,LIGHTHOUSE PRINTED METAL SIGN,4.95,"['lighthouse', 'printed', 'metal']",Home Decor,Luxury
21758,VINTAGE SHELLS PRINT,6.45,"['vintage', 'shells']",Other,Luxury
21761,WOOD AND GLASS MEDICINE CABINET,29.95,"['wood', 'glass', 'medicine', 'cabinet']",Kitchen,Luxury
21763,VINTAGE WOODEN BAR STOOL,29.95,"['vintage', 'bar', 'stool']",Other,Luxury
21769,VINTAGE POST OFFICE CABINET,66.36,"['vintage', 'post', 'office', 'cabinet']",Other,Luxury
21770,OPEN CLOSED METAL SIGN,4.95,"['closed', 'metal']",Stationery,Luxury
21773,DECORATIVE ROSE BATHROOM BOTTLE,1.25,"['decorative', 'rose', 'bathroom', 'bottle']",Kitchen,Standard
21774,DECORATIVE CATS BATHROOM BOTTLE,1.25,"['cat', 'bottle']",Kitchen,Standard
21775,DECORATIVE FLORE BATHROOM BOTTLE,1.25,"['decorative', 'bathroom', 'bottle']",Kitchen,Standard
21777,RECIPE BOX WITH METAL HEART,7.95,"['recipe', 'box', 'metal', 'heart']",Home Decor,Luxury
21781,MA CAMPAGNE CUTLERY BOX,14.95,"['ma', 'campagne', 'cutlery', 'box']",Other,Luxury
21784,SHOE SHINE BOX,9.95,"['shoe', 'shine', 'box']",Other,Luxury
21785,RAIN PONCHO,0.85,"['rain', 'poncho']",Other,Budget
21786,POLKADOT RAIN HAT,0.42,"['rain', 'hat']",Clothing,Budget
21787,RAIN PONCHO RETROSPOT,0.85,"['rain', 'poncho']",Garden,Budget
21788,KIDS RAIN MAC BLUE,0.85,"['kids', 'rain', 'mac', 'blue']",Other,Budget
21789,KIDS RAIN MAC PINK,0.85,"['kids', 'rain', 'mac', 'pink']",Other,Budget
21790,VINTAGE SNAP CARDS,0.85,"['vintage', 'snap', 'card']",Stationery,Budget
21791,VINTAGE HEADS AND TAILS CARD GAME,1.25,"['vintage', 'heads', 'tails', 'card', 'game']",Stationery,Standard
21792,CLASSIC FRENCH STYLE BASKET GREEN,3.95,"['classic', 'french', 'style', 'green']",Other,Luxury
21793,CLASSIC FRENCH STYLE BASKET BROWN,3.95,"['classic', 'french', 'style', 'brown']",Other,Luxury
21794,CLASSIC FRENCH STYLE BASKET NATURAL,3.95,"['classic', 'french', 'style', 'natural']",Other,Luxury
21801,CHRISTMAS TREE DECORATION WITH BELL,0.42,"['christmas', 'tree', 'decoration', 'bell']",Home Decor,Budget
21802,CHRISTMAS TREE HEART DECORATION,0.42,"['christmas', 'tree', 'heart', 'decoration']",Home Decor,Budget
21803,CHRISTMAS TREE STAR DECORATION,0.42,"['christmas', 'tree', 'star', 'decoration']",Home Decor,Budget
21804,WHITE CHRISTMAS GARLAND STARS TREES,3.75,"['white', 'christmas', 'garland', 'stars', 'trees']",Christmas,Premium
21807,WHITE CHRISTMAS STAR DECORATION,0.42,"['white', 'christmas', 'star', 'decoration']",Home Decor,Budget
21808,"CHRISTMAS GARLAND STARS,TREES",3.75,"['christmas', 'stars', 'trees']",Christmas,Premium
21809,CHRISTMAS HANGING TREE WITH BELL,0.39,"['christmas', 'tree', 'bell']",Christmas,Budget
21810,CHRISTMAS HANGING STAR WITH BELL,0.39,"['christmas', 'star', 'bell']",Christmas,Budget
21811,CHRISTMAS HANGING HEART WITH BELL,0.39,"['christmas', 'heart', 'bell']",Home Decor,Budget
21812,GARLAND WITH HEARTS AND BELLS,4.95,"['hearts', 'bell']",Home Decor,Luxury
21813,GARLAND WITH STARS AND BELLS,4.95,"['star', 'bell']",Other,Luxury
21814,HEART T-LIGHT HOLDER,1.45,"['heart', 't', 'light', 'holder']",Home Decor,Standard
21815,STAR  T-LIGHT HOLDER,1.45,"['star', 't', 'light', 'holder']",Home Decor,Standard
21816,CHRISTMAS TREE T-LIGHT HOLDER,1.45,"['christmas', 'tree', 't', 'light', 'holder']",Home Decor,Standard
21817,GLITTER CHRISTMAS TREE,0.39,"['christmas', 'tree']",Christmas,Budget
21818,GLITTER CHRISTMAS HEART,0.39,"['christmas', 'heart']",Home Decor,Budget
21819,GLITTER CHRISTMAS STAR,0.39,"['christmas', 'star']",Christmas,Budget
21820,GLITTER HEART GARLAND WITH BELLS,3.75,"['glitter', 'heart', 'bell']",Home Decor,Premium
21821,GLITTER STAR GARLAND WITH BELLS,3.75,"['glitter', 'star', 'bell']",Other,Premium
21822,GLITTER CHRISTMAS TREE WITH BELLS,0.79,"['christmas', 'tree', 'bell']",Christmas,Budget
21823,PAINTED METAL HEART WITH HOLLY BELL,0.39,"['metal', 'heart', 'holly', 'bell']",Home Decor,Budget
21824,PAINTED METAL STAR WITH HOLLY BELLS,0.39,"['metal', 'star', 'holly', 'bell']",Other,Budget
21826,EIGHT PIECE DINOSAUR SET,1.25,"['piece', 'dinosaur', 'set']",Other,Standard
21827,EIGHT PIECE CREEPY CRAWLIE SET,1.25,"['piece', 'creepy', 'crawlie', 'set']",Other,Standard
21828,EIGHT PIECE SNAKE  SET,1.25,"['piece', 'snake', 'set']",Other,Standard
21829,DINOSAUR KEYRINGS ASSORTED,0.21,"['dinosaur', 'keyring']",Jewellery,Budget
21830,ASSORTED CREEPY CRAWLIES,0.42,"['assorted', 'creepy', 'crawlie']",Other,Budget
21832,CHOCOLATE CALCULATOR,1.65,"['chocolate', 'calculator']",Food,Standard
21833,CAMOUFLAGE LED TORCH,1.69,"['camouflage', 'torch']",Other,Standard
21836,GINGHAM OVEN GLOVE RED HEART,3.75,"['gingham', 'oven', 'glove', 'red', 'heart']",Home Decor,Premium
21839,MUMMY MOUSE RED GINGHAM RIBBON,5.45,"['mummy', 'mouse', 'gingham', 'ribbon']",Other,Luxury
21841,BABY MOUSE RED GINGHAM DRESS,4.25,"['mouse', 'gingham', 'dress']",Clothing,Luxury
21843,RED RETROSPOT CAKE STAND,10.95,"['red', 'retrospot', 'cake', 'stand']",Garden,Luxury
21844,RED RETROSPOT MUG,2.95,"['red', 'retrospot', 'mug']",Kitchen,Premium
21845,DAIRY MAID STRIPE MUG,0.79,"['dairy', 'stripe', 'mug']",Kitchen,Budget
21846,PINK DIAMANTE PEN IN GIFT BOX,4.95,"['pink', 'diamante', 'pen', 'gift', 'box']",Stationery,Luxury
21847,GREEN  DIAMANTE PEN IN GIFT BOX,4.95,"['green', 'diamante', 'pen', 'gift', 'box']",Stationery,Luxury
21849,SILVER DIAMANTE PEN IN GIFT BOX,4.95,"['silver', 'diamante', 'pen', 'gift', 'box']",Stationery,Luxury
21850,BLUE  DIAMANTE PEN IN GIFT BOX,4.95,"['blue', 'diamante', 'pen', 'gift', 'box']",Stationery,Luxury
21851,LILAC DIAMANTE PEN IN GIFT BOX,4.95,"['lilac', 'diamante', 'pen', 'gift', 'box']",Stationery,Luxury
21864,UNION JACK FLAG PASSPORT COVER,2.1,"['union', 'jack', 'flag', 'passport', 'cover']",Other,Premium
21865,PINK UNION JACK  PASSPORT COVER,2.1,"['pink', 'union', 'jack', 'passport', 'cover']",Other,Premium
21866,UNION JACK FLAG LUGGAGE TAG,1.25,"['union', 'jack', 'flag', 'luggage', 'tag']",Other,Standard
21867,PINK UNION JACK  LUGGAGE TAG,1.25,"['pink', 'union', 'jack', 'luggage', 'tag']",Other,Standard
21868,POTTING SHED TEA MUG,1.25,"['potting', 'shed', 'tea', 'mug']",Kitchen,Standard
21870,I CAN ONLY PLEASE ONE PERSON MUG,1.25,"['person', 'mug']",Kitchen,Standard
21871,SAVE THE PLANET MUG,1.25,"['planet', 'mug']",Kitchen,Standard
21872,GLAMOROUS  MUG,1.25,"['glamorous', 'mug']",Kitchen,Standard
21873,IF YOU CAN'T STAND THE HEAT MUG,1.25,"['heat', 'mug']",Kitchen,Standard
21874,GIN AND TONIC MUG,1.25,"['gin', 'tonic', 'mug']",Kitchen,Standard
21875,KINGS CHOICE MUG,1.25,"['king', 'mug']",Kitchen,Standard
21876,POTTERING MUG,1.25,"['pottering', 'mug']",Kitchen,Standard
21877,HOME SWEET HOME MUG,1.25,"['home', 'sweet', 'mug']",Kitchen,Standard
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,0.85,"['pack', 'sandcastle', 'flags']",Other,Budget
21879,HEARTS GIFT TAPE,0.65,"['hearts', 'gift', 'tape']",Stationery,Budget
21880,RED RETROSPOT TAPE,0.65,"['retrospot', 'tape']",Stationery,Budget
21881,CUTE CATS TAPE,0.65,"['cats', 'tape']",Stationery,Budget
21882,SKULLS TAPE,0.65,"['skulls', 'tape']",Stationery,Budget
21883,STARS GIFT TAPE,0.65,"['stars', 'gift', 'tape']",Stationery,Budget
21884,CAKES AND BOWS GIFT  TAPE,0.65,"['cakes', 'bows', 'gift', 'tape']",Stationery,Budget
21888,BINGO SET,3.75,"['bingo', 'set']",Other,Premium
21889,WOODEN BOX OF DOMINOES,1.25,"['wooden', 'box', 'domino']",Other,Standard
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3.25,"['wooden', 'skittles', 'cotton', 'bag']",Bags,Premium
21891,TRADITIONAL WOODEN SKIPPING ROPE,1.45,"['traditional', 'wooden', 'rope']",Other,Standard
21892,TRADITIONAL WOODEN CATCH CUP GAME,1.25,"['traditional', 'wooden', 'catch', 'cup', 'game']",Kitchen,Standard
21894,POTTING SHED SEED ENVELOPES,1.25,"['potting', 'shed', 'seed', 'envelope']",Kitchen,Standard
21895,POTTING SHED SOW 'N' GROW SET,4.25,"['potting', 'shed', 'sow', 'n', 'grow', 'set']",Kitchen,Luxury
21896,POTTING SHED TWINE,2.1,"['potting', 'shed', 'twine']",Kitchen,Premium
21897,POTTING SHED CANDLE CITRONELLA,2.88,"['shed', 'candle', 'citronella']",Home Decor,Premium
21898,POTTING SHED ROSE CANDLE,2.95,"['potting', 'shed', 'rose', 'candle']",Home Decor,Premium
21899,"KEY FOB , GARAGE DESIGN",0.65,"['key', 'fob', 'garage', 'design']",Home Decor,Budget
21900,"KEY FOB , SHED",0.65,"['key', 'fob', 'shed']",Other,Budget
21901,"KEY FOB , BACK DOOR",0.65,"['key', 'fob', 'door']",Other,Budget
21902,"KEY FOB , FRONT  DOOR",0.65,"['key', 'fob', 'door']",Other,Budget
21903,MAN FLU METAL SIGN,2.1,"['man', 'flu', 'metal']",Home Decor,Premium
21904,HOUSE WRECKING METAL SIGN,2.1,"['house', 'metal']",Home Decor,Premium
21905,MORE BUTTER METAL SIGN,0.79,"['butter', 'metal']",Home Decor,Budget
21906,PHARMACIE FIRST AID TIN,6.75,"['pharmacie', 'aid', 'tin']",Kitchen,Luxury
21907,I'M ON HOLIDAY METAL SIGN,2.1,"['holiday', 'metal']",Home Decor,Premium
21908,CHOCOLATE THIS WAY METAL SIGN,2.1,"['chocolate', 'way', 'metal']",Home Decor,Premium
21910,WAY OUT METAL SIGN,1.65,['way'],Home Decor,Standard
21911,GARDEN METAL SIGN,1.65,['garden'],Home Decor,Standard
21912,VINTAGE SNAKES & LADDERS,3.75,"['vintage', 'snakes', 'ladder']",Other,Premium
21913,VINTAGE SEASIDE JIGSAW PUZZLES,3.75,"['vintage', 'seaside', 'jigsaw', 'puzzles']",Toys,Premium
21914,BLUE HARMONICA IN BOX,1.25,"['blue', 'harmonica', 'box']",Other,Standard
21915,RED  HARMONICA IN BOX,1.25,"['red', 'harmonica', 'box']",Other,Standard
21916,SET 12 RETRO WHITE CHALK STICKS,0.42,"['set', 'retro', 'white', 'chalk', 'stick']",Other,Budget
21917,SET 12 KIDS  WHITE CHALK STICKS,0.42,"['set', 'kids', 'white', 'chalk', 'stick']",Other,Budget
21918,SET 12 KIDS COLOUR  CHALK STICKS,0.42,"['set', 'kids', 'colour', 'chalk', 'stick']",Other,Budget
21922,UNION STRIPE WITH FRINGE  HAMMOCK,7.95,"['stripe', 'fringe', 'hammock']",Jewellery,Luxury
21925,UNION STRIPE CUSHION COVER,1.25,"['union', 'cushion', 'cover']",Other,Standard
21926,RED/CREAM STRIPE CUSHION COVER,1.25,"['red', 'cream', 'stripe', 'cushion', 'cover']",Beauty,Standard
21927,BLUE/CREAM STRIPE CUSHION COVER,1.25,"['blue', 'cream', 'stripe', 'cushion', 'cover']",Beauty,Standard
21928,JUMBO BAG SCANDINAVIAN PAISLEY,2.08,"['jumbo', 'bag', 'scandinavian', 'paisley']",Bags,Premium
21929,JUMBO BAG PINK VINTAGE PAISLEY,2.08,"['jumbo', 'bag', 'pink', 'vintage', 'paisley']",Bags,Premium
21930,JUMBO STORAGE BAG SKULLS,2.08,"['jumbo', 'storage', 'bag', 'skulls']",Bags,Premium
21931,JUMBO STORAGE BAG SUKI,2.08,"['jumbo', 'storage', 'bag', 'suki']",Bags,Premium
21932,SCANDINAVIAN PAISLEY PICNIC BAG,1.65,"['scandinavian', 'paisley', 'picnic', 'bag']",Bags,Standard
21933,PINK VINTAGE PAISLEY PICNIC BAG,1.65,"['vintage', 'paisley', 'picnic', 'bag']",Bags,Standard
21934,SKULL SHOULDER BAG,1.65,"['skull', 'shoulder', 'bag']",Bags,Standard
21935,SUKI  SHOULDER BAG,1.65,"['suki', 'shoulder', 'bag']",Bags,Standard
21936,RED RETROSPOT PICNIC BAG,2.95,"['red', 'retrospot', 'picnic', 'bag']",Garden,Premium
21937,STRAWBERRY   PICNIC BAG,2.95,"['picnic', 'bag']",Bags,Premium
21942,SKULLS DESIGN FLANNEL,0.85,['skulls'],Home Decor,Budget
21943,CAKES AND RABBITS DESIGN FLANNEL,0.85,"['cakes', 'rabbit', 'design']",Home Decor,Budget
